"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2012年度","兵庫県 たつの市","","662","843","340","137"
"2012年度","兵庫県 猪名川町","","183","230","82","46"
"2012年度","兵庫県 多可町","","130","322","73","33"
"2012年度","兵庫県 稲美町","","227","304","143","50"
"2012年度","兵庫県 播磨町","","313","298","168","74"
"2012年度","兵庫県 市川町","","63","174","42","20"
"2012年度","兵庫県 福崎町","","164","224","103","28"
"2012年度","兵庫県 神河町","","69","165","38","14"
"2012年度","兵庫県 太子町","","345","267","166","52"
"2012年度","兵庫県 上郡町","","91","198","61","12"
"2012年度","兵庫県 佐用町","","100","300","68","32"
"2012年度","兵庫県 香美町","","113","289","77","24"
"2012年度","兵庫県 新温泉町","","88","267","53","19"
"2011年度","兵庫県 神戸市 東灘区","","1,857","1,595","1,118","344"
"2011年度","兵庫県 神戸市 灘区","","1,201","1,192","785","251"
"2011年度","兵庫県 神戸市 兵庫区","","826","1,377","698","254"
"2011年度","兵庫県 神戸市 長田区","","687","1,313","523","244"
"2011年度","兵庫県 神戸市 須磨区","","1,266","1,585","743","317"
"2011年度","兵庫県 神戸市 垂水区","","1,983","2,235","1,106","423"
"2011年度","兵庫県 神戸市 北区","","1,761","1,964","884","437"
"2011年度","兵庫県 神戸市 中央区","","1,029","1,175","954","305"
"2011年度","兵庫県 神戸市 西区","","2,110","1,853","1,141","469"
"2011年度","兵庫県 姫路市","","4,939","5,027","2,925","1,094"
"2011年度","兵庫県 尼崎市","","4,232","4,597","2,921","1,070"
"2011年度","兵庫県 明石市","","2,629","2,499","1,647","591"
"2011年度","兵庫県 西宮市","","4,498","3,550","2,551","818"
"2011年度","兵庫県 洲本市","","348","649","186","78"
"2011年度","兵庫県 芦屋市","","789","792","461","193"
"2011年度","兵庫県 伊丹市","","1,971","1,474","1,125","441"
"2011年度","兵庫県 相生市","","225","417","126","43"
"2011年度","兵庫県 豊岡市","","690","1,036","362","121"
"2011年度","兵庫県 加古川市","","2,553","2,093","1,435","449"
"2011年度","兵庫県 赤穂市","","370","502","212","71"
"2011年度","兵庫県 西脇市","","339","519","173","62"
"2011年度","兵庫県 宝塚市","","1,901","1,772","1,031","341"
"2011年度","兵庫県 三木市","","553","827","324","124"
"2011年度","兵庫県 高砂市","","769","836","495","166"
"2011年度","兵庫県 川西市","","1,151","1,365","655","236"
"2011年度","兵庫県 小野市","","462","462","229","97"
"2011年度","兵庫県 三田市","","778","700","430","175"
"2011年度","兵庫県 加西市","","275","497","198","52"
"2011年度","兵庫県 篠山市","","320","539","193","72"
"2011年度","兵庫県 養父市","","164","406","98","37"
"2011年度","兵庫県 丹波市","","551","881","280","112"
"2011年度","兵庫県 南あわじ市","","370","674","193","54"
"2011年度","兵庫県 朝来市","","277","434","145","57"
"2011年度","兵庫県 淡路市","","327","715","165","77"
"2011年度","兵庫県 宍粟市","","307","510","164","53"
"2011年度","兵庫県 加東市","","346","356","218","70"
"2011年度","兵庫県 たつの市","","612","894","332","111"
"2011年度","兵庫県 猪名川町","","181","253","78","52"
"2011年度","兵庫県 多可町","","131","307","78","27"
"2011年度","兵庫県 稲美町","","211","294","122","46"
"2011年度","兵庫県 播磨町","","291","293","181","63"
"2011年度","兵庫県 市川町","","91","161","48","14"
"2011年度","兵庫県 福崎町","","148","182","105","35"
"2011年度","兵庫県 神河町","","64","175","33","13"
